scenario_id,split,regime,domain_length_m,spatial_nodes,spatial_step_m,final_time_s,time_nodes,time_step_s,velocity_m_s,dispersion_m2_s,retardation_factor,decay_rate_s_1,source_concentration_mg_L,source_start_s,source_duration_s,source_end_s,dispersivity_m,peclet_number,damkohler_number,advective_travel_time_s
ADR1D-0001,train,conservative,1000,51,20,86400,49,1800,0.214614787236,8.5550649528,1,0,0.274819502291,3513.44132358,2946.82492721,6460.26625079,39.8624207724,25.0862837887,0,4659.51117757
ADR1D-0002,train,conservative,1000,51,20,86400,49,1800,0.30741287003,10.7324221308,1,0,1.69231390158,2383.81867131,9709.18818816,12093.0068595,34.912078111,28.6433822937,0,3252.95424327
ADR1D-0003,train,conservative,1000,51,20,86400,49,1800,0.271836651268,17.6774929917,1,0,1.17527390504,214.924827079,3073.89680485,3288.82163193,65.0298365184,15.3775567268,0,3678.67980765
ADR1D-0004,train,conservative,1000,51,20,86400,49,1800,0.108294393681,7.74729301187,1,0,0.598006629652,1247.97887818,10659.3240213,11907.3028994,71.5391882121,13.9783526343,0,9234.08835867
ADR1D-0005,train,conservative,1000,51,20,86400,49,1800,0.0913477036518,4.27962244058,1,0,0.445478282451,615.412095864,7964.16631172,8579.57840758,46.8498086924,21.344804342,0,10947.1826879
ADR1D-0006,train,conservative,1000,51,20,86400,49,1800,0.1014209829,1.19409789515,1,0,0.334452550647,1854.5846171,6072.12383467,7926.70845177,11.7736770144,84.9352329586,0,9859.89261206
ADR1D-0007,train,conservative,1000,51,20,86400,49,1800,0.279361890432,3.1236298445,1,0,1.34476154581,1556.78734329,7182.21840556,8739.00574885,11.1813026453,89.4350177004,0,3579.58631527
ADR1D-0008,train,conservative,1000,51,20,86400,49,1800,0.0543436443295,2.41237315663,1,0,0.542356679728,1811.9254238,6188.84213299,8000.76755679,44.3910817243,22.5270473518,0,18401.4158847
ADR1D-0009,train,conservative,1000,51,20,86400,49,1800,0.133662119865,5.64435597335,1,0,2.11991671411,3590.29371954,8652.15603737,12242.4497569,42.2285384899,23.6806679975,0,7481.55125036
ADR1D-0010,validation,conservative,1000,51,20,86400,49,1800,0.147980878697,4.19306311709,1,0,3.19235431838,2940.1709406,9277.0123412,12217.1832818,28.3351683947,35.2918319055,0,6757.62982895
ADR1D-0011,train,conservative,1000,51,20,86400,49,1800,0.298101252541,13.0797237295,1,0,1.31761746065,697.12787447,5805.16235326,6502.29022772,43.8767821941,22.791097022,0,3354.5649053
